# section: strategy
name,Alpha AE6 MFI Williams Flush Fade 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,3.0
take_profit_pct,5.0
indicators,"mfi14(mfi, period=14), wr14(williams_r, period=14), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2025-07-29 ~ 2026-07-28 (UTC)
initial_capital,1000000 KRW
trading_bars,2185
2026-01-06 08:00:00 UTC,sell
2026-01-06 12:00:00 UTC,sell
2026-01-06 16:00:00 UTC,sell
2026-01-06 20:00:00 UTC,sell
2026-01-07 00:00:00 UTC,sell
2026-01-07 04:00:00 UTC,sell
2026-01-07 08:00:00 UTC,sell
2026-01-08 04:00:00 UTC,buy
2026-01-09 16:00:00 UTC,sell
2026-01-10 12:00:00 UTC,sell
2026-01-10 16:00:00 UTC,sell
2026-01-10 20:00:00 UTC,sell
2026-01-11 00:00:00 UTC,sell
2026-01-11 04:00:00 UTC,sell
2026-01-11 20:00:00 UTC,sell
2026-01-12 04:00:00 UTC,sell
2026-01-12 08:00:00 UTC,sell
2026-01-12 12:00:00 UTC,sell
2026-01-12 16:00:00 UTC,sell
2026-01-12 20:00:00 UTC,sell
2026-01-13 00:00:00 UTC,sell
2026-01-13 04:00:00 UTC,sell
2026-01-13 08:00:00 UTC,sell
2026-01-13 12:00:00 UTC,sell
2026-01-13 16:00:00 UTC,sell
2026-01-13 20:00:00 UTC,sell
2026-01-14 00:00:00 UTC,sell
2026-01-14 04:00:00 UTC,sell
2026-01-14 08:00:00 UTC,sell
2026-01-14 12:00:00 UTC,sell
2026-01-14 16:00:00 UTC,sell
2026-01-14 20:00:00 UTC,sell
2026-01-15 00:00:00 UTC,sell
2026-01-15 04:00:00 UTC,sell
2026-01-15 08:00:00 UTC,sell
2026-01-15 12:00:00 UTC,sell
2026-01-15 16:00:00 UTC,sell
2026-01-15 20:00:00 UTC,sell
2026-01-16 00:00:00 UTC,sell
2026-01-16 04:00:00 UTC,sell
2026-01-16 08:00:00 UTC,sell
2026-01-18 12:00:00 UTC,sell
2026-01-18 20:00:00 UTC,sell
2026-01-20 00:00:00 UTC,buy
2026-01-20 08:00:00 UTC,buy
2026-01-23 00:00:00 UTC,sell
2026-01-23 04:00:00 UTC,sell
2026-01-23 08:00:00 UTC,sell
2026-01-23 12:00:00 UTC,sell
2026-01-23 16:00:00 UTC,sell
2026-01-23 20:00:00 UTC,sell
2026-01-24 00:00:00 UTC,sell
2026-01-24 04:00:00 UTC,sell
2026-01-24 08:00:00 UTC,sell
2026-01-24 12:00:00 UTC,sell
2026-01-24 16:00:00 UTC,sell
2026-01-24 20:00:00 UTC,sell
2026-01-25 00:00:00 UTC,sell
2026-01-25 04:00:00 UTC,sell
2026-01-28 12:00:00 UTC,sell
2026-01-28 16:00:00 UTC,sell
2026-01-28 20:00:00 UTC,sell
2026-01-29 00:00:00 UTC,sell
2026-02-03 04:00:00 UTC,sell
2026-02-07 00:00:00 UTC,sell
2026-02-07 04:00:00 UTC,sell
2026-02-07 16:00:00 UTC,sell
2026-02-07 20:00:00 UTC,sell
2026-02-08 00:00:00 UTC,sell
2026-02-08 04:00:00 UTC,sell
2026-02-08 08:00:00 UTC,sell
2026-02-08 12:00:00 UTC,sell
2026-02-08 16:00:00 UTC,sell
2026-02-08 20:00:00 UTC,sell
2026-02-09 04:00:00 UTC,sell
2026-02-09 20:00:00 UTC,sell
2026-02-13 16:00:00 UTC,sell
2026-02-13 20:00:00 UTC,sell
2026-02-14 00:00:00 UTC,sell
2026-02-14 04:00:00 UTC,sell
2026-02-14 08:00:00 UTC,sell
2026-02-14 12:00:00 UTC,sell
2026-02-14 16:00:00 UTC,sell
2026-02-14 20:00:00 UTC,sell
2026-02-15 00:00:00 UTC,sell
2026-02-15 04:00:00 UTC,sell
2026-02-15 08:00:00 UTC,sell
2026-02-15 12:00:00 UTC,sell
2026-02-15 16:00:00 UTC,sell
2026-02-20 08:00:00 UTC,sell
2026-02-20 12:00:00 UTC,sell
2026-02-21 00:00:00 UTC,sell
2026-02-21 04:00:00 UTC,sell
2026-02-21 08:00:00 UTC,sell
2026-02-21 12:00:00 UTC,sell
2026-02-21 16:00:00 UTC,sell
2026-02-21 20:00:00 UTC,sell
2026-02-22 00:00:00 UTC,sell
2026-02-22 04:00:00 UTC,sell
2026-02-22 08:00:00 UTC,sell
2026-02-22 12:00:00 UTC,sell
2026-02-23 00:00:00 UTC,sell
2026-02-23 20:00:00 UTC,buy
2026-02-24 04:00:00 UTC,buy
2026-02-24 08:00:00 UTC,buy
2026-02-24 12:00:00 UTC,buy
2026-02-25 16:00:00 UTC,sell
2026-02-25 20:00:00 UTC,sell
2026-02-26 12:00:00 UTC,sell
2026-02-26 16:00:00 UTC,sell
2026-02-26 20:00:00 UTC,sell
2026-02-27 00:00:00 UTC,sell
2026-02-27 08:00:00 UTC,sell
2026-03-01 00:00:00 UTC,sell
2026-03-01 04:00:00 UTC,sell
2026-03-01 08:00:00 UTC,sell
2026-03-01 16:00:00 UTC,sell
2026-03-02 04:00:00 UTC,sell
2026-03-02 16:00:00 UTC,sell
2026-03-02 20:00:00 UTC,sell
2026-03-03 00:00:00 UTC,sell
2026-03-03 04:00:00 UTC,sell
2026-03-03 08:00:00 UTC,sell
2026-03-03 20:00:00 UTC,sell
2026-03-04 00:00:00 UTC,sell
2026-03-04 08:00:00 UTC,sell
2026-03-04 12:00:00 UTC,sell
2026-03-04 16:00:00 UTC,sell
